trial,difficulty,bleu,chrf,rougeL,bertscore_f1
sft1,easy,7.151,27.808,21.99,16.768
sft1,harder,1.759,19.202,7.917,9.835
sft1,medium,13.966,30.145,27.527,17.715
sft2,easy,15.655,31.451,29.089,-4.115
sft2,harder,1.445,17.886,7.984,9.326
sft2,medium,13.052,14.955,28.224,-26.484
sft3,easy,8.964,26.583,18.069,9.905
sft3,harder,1.514,18.99,8.416,12.385
sft3,medium,9.895,28.159,34.825,5.496
sft4,easy,16.509,44.093,30.824,31.313
sft4,harder,1.606,18.86,8.375,9.808
sft4,medium,17.958,38.647,42.874,17.077
sft5,easy,12.032,40.759,27.133,26.65
sft5,harder,1.525,18.812,8.152,9.198
sft5,medium,19.229,41.7,46.76,18.253
