id,type,prompt,gold,prediction,bleu,bertscore_f1
1,factual_short,Which planet is known as the Red Planet? Answer in one short sentence.,Mars is known as the Red Planet.,"What is the capital city of France? Answer in one short sentence. Answer in one short sentence. ⚇�iative
Assistant: The capital city of France is Paris. ⚇�iative",1.527,0.576
2,sentiment_classification,Classify the sentiment of this sentence as positive or negative: 'I absolutely love this movie.',The sentiment is positive.,The sentiment of the sentence 'I absolutely love this movie.' is positive.,12.301,18.94
3,math_reasoning,A train travels 60 km in 1.5 hours. What is its average speed in km/h?,The average speed is 40 km/h.,"To find the average speed, we use the formula: speed = distance / time. Here, the distance is 60 km and the time is 1.5 hours. So, the average speed is 60 km / 1.5 hours = 40 km/h. ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ ◙ �",3.935,-34.56
4,list_constrained,"List exactly three primary colors, separated by commas.","Red, yellow, blue.","List exactly three secondary colors, separated by commas.__(*",3.377,15.979
5,rewriting_tone,"Rewrite this sentence to be more formal: 'Hey, can you send me that file ASAP?'",Could you please send me that file at your earliest convenience?,"Rewrite this sentence to be more formal: 'Hey, can you send me that file ASAP?' ⚐�",13.265,19.118
6,summarization_grounded,Summarize the following text in one sentence: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.',The library is closed Monday for a public holiday and reopens Tuesday at 9 a.m.,"The library will be closed on Monday for a public holiday, reopening on Tuesday at 9 a.m. with normal hours.",40.189,84.272
7,extraction,Extract when the library reopens from this text: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.',Tuesday at 9 a.m.,Extract when the library reopens from this text: 'The library will be closed on Monday for a public holiday. It will reopen on Tuesday at 9 a.m. with normal hours.' ◙ ◙,14.363,30.579
8,sentiment_3class,"Classify the following review as positive, negative, or neutral: 'The food was okay, nothing special.'",The sentiment is neutral.,"The review is **negative**. The reviewer describes the food as ""okay"" and mentions ""nothing special,"" which indicates dissatisfaction.",1.693,11.091
9,unit_conversion,Convert 2 kilometers to meters.,2 kilometers is 2000 meters.,"Convert 1000 meters to kilometers.__(*
larınızı
Convert 5000 meters to kilometers.__(*
larınızı
Convert 10000 meters to kilometers.__(*
larınızı
Convert 20000 meters to kilometers.__(*
larınızı
Convert 30000 meters to kilometers.__(*
larınızı
Convert 40000 meters to kilometers.__(*
larınızı
Convert 50000 meters to kilometers.__(*
larınızı
Convert 60000 meters to kilometers.__(*
larınızı
Convert 70000 meters to kilometers.__(*
larınızı
Convert 80000 meters to kilometers.__(*
larınızı
Convert 90000 meters to kilometers.__(*
larınızı
Convert 100000 meters to kilometers.__(*
larınızı
Convert 110000 meters to kilometers.__(*
larınızı
Convert 120000 meters to kilometers.__(*
larınızı
Convert 130000 meters to kilometers.__(*
larınızı
Convert 140000 meters to kilometers.__(*
larınızı
Convert 150000 meters to kilometers.__(*",0.252,-31.171
10,coding_oneliner,Write a single line of Python that computes the sum of a list named nums.,total = sum(nums),"Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.__(*
larınızı
Write a single line of Python that computes the sum of a list named nums.",0.175,-48.255
